id,name,website,industry,area,careers_url,job_title,job_category,salary_range,experience_level
thecorpusgroup,"The Corpus Group",https://corpus.com,"E-Commerce & Consumer","Banjara Hills",https://corpus.com/careers,,,,
tiny-tactics,"Tiny Tactics",https://tinytactics.com,"E-Commerce & Consumer","HITEC City",https://tinytactics.com/careers,,,,
tohands,"Tohands",https://smart.tohands.in,"FinTech & InsurTech","Madhapur",https://smart.tohands.in/careers,,,,
track3d,"Track3D",https://track3d.ai,"AI & Machine Learning","HITEC City",https://track3d.ai/careers,,,,
tractrix-opto-dynamics,"Tractrix Opto Dynamics",https://tractrix.in,"AI & Machine Learning","HITEC City",https://tractrix.in/careers,,,,
trans-india,"Trans India",https://transin.in,"SaaS & Enterprise","Madhapur",https://transin.in/careers,,,,
tride-mobility,"TRiDE Mobility",https://tridemobility.com,"CleanTech & EV","Madhapur",https://tridemobility.com/careers,,,,
turbohire,"TurboHire",https://turbohire.co,"SaaS & Enterprise","Knowledge City / T-Hub",https://turbohire.co/careers,,,,
tutorac,"Tutorac",https://tutorac.com,"EdTech","HITEC City",https://tutorac.com/careers,,,,
tvisha,"TVISHA",https://tvisha.com,"SaaS & Enterprise","Madhapur",https://tvisha.com/careers,,,,
ublood,"uBlood",https://ublood.com,"HealthTech & BioTech","Madhapur",https://ublood.com/careers,,,,
